
央视频道,#genre#
CCTV1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$LR•IPV4•774『线路1』
CCTV1综合,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8$LR•IPV4•774『线路2』
CCTV1综合,http://183.196.25.171:808/hls/1/index.m3u8$LR•IPV4•774『线路3』
CCTV1综合,http://cyz32.livehbindex.hbcatv.cn/live/50000020935c4d59965a1cbf159c9be9.m3u8?bitrate=2300&pt=5$LR•IPV4•774『线路4』
CCTV1综合,http://api2.52tb.xyz/info?id=2&token=20230326xflvzc$LR•IPV4•774『线路5』
CCTV1综合,http://192.168.0.50:35453/bst/cctv1hd@4000000.m3u8$LR•IPV4•774『线路6』
CCTV1综合,http://192.168.0.50:35453/mgtv/608807420.m3u8$LR•IPV4•774『线路7』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000011000265001&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路8』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000052&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路9』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路10』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000001000004953&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路11』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000010000030810&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路12』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路13』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路14』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路15』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路16』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=hnbblive&Contentid=5510876839019192947&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路17』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=hnbblive&Contentid=9198071806334826260&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路18』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=wasusyt&Contentid=5068253659616166748&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路19』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=reallive-cctv1&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路20』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/5000000011000265001/1.m3u8?channel-id=ystenlive&Contentid=reallivecctv1&livemode=1&stbId=toShengfen&mode=1&$LR•IPV4•774『线路21』
CCTV1综合,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv$LR•IPV4•774『线路22』
CCTV1综合,https://migu.188766.xyz/?migutoken=6d5869efdc2bc8bef3b887e9ebd5bc5d&id=CCTV1&type=yy$LR•IPV4•774『线路23』
